"Raison Sociale",SIREN,Année,Note,Structure,"Nom UES","Entreprises UES (SIREN)",Région,Département
"HEINEKEN ENTREPRISE",414842062,2018,98/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"Conforama France SA",414819409,2018,78/100,Entreprise,"","",Ile-de-France,Seine-et-Marne
"Safran Aircraft Engines",414815217,2018,90/100,Entreprise,"","",Ile-de-France,Essonne
"LAFARGEHOLCIM BETON",414815043,2018,68/100,"Unité Economique et Sociale (UES)","UES BETON","BETONS CHANTIERSCHARENTE LIMOUSIN (766500102), BETONS MATERIAUX CONTROLES BMC (503803199)",Ile-de-France,Hauts-de-Seine
"Thales Alenia Space France",414725101,2018,94/100,Entreprise,"","",Occitanie,Haute-Garonne
"Ludendo commerce france",414138842,2018,73/85,Entreprise,"","",Ile-de-France,Paris
"ELIOR ENTREPRISES",413901760,2018,94/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"SAS MINELLI",413157306,2018,82/100,Entreprise,"","","Provence-Alpes-Côte d'Azur",Bouches-du-Rhône
"LA HALLE",413151739,2018,77/100,Entreprise,"","",Ile-de-France,Paris
"ASSA ABLOY FRANCE",412140907,2018,75/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"HUB SAFE",411381346,2018,79/100,Entreprise,"","",Ile-de-France,Seine-Saint-Denis
"UGITECH SA",410436158,2018,68/100,Entreprise,"","",Auvergne-Rhône-Alpes,Savoie
"Auhcan FRANCE",410409460,2018,89/100,Entreprise,"","",Hauts-de-France,Nord
"Auchan Supermarché",410409015,2018,89/100,"Unité Economique et Sociale (UES)","Auchan Supermarché","AMV Distribution (453795098), Auchan Bio (798545687), JUPERIC (379531122), PAREA (481020022), SAFIPAR (444409551)",Hauts-de-France,Nord
"SFR DISTRIBUTION",410358865,2018,88/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"Novartis Pharma SAS",41034907,2018,94/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"VINCI CONSTRUCTION TERRASSEMENT",410335855,2018,75/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"SMRC AUTOMOTIVE MODULES FRANCE SAS",410314876,2018,73/100,Entreprise,"","",Hauts-de-France,Pas-de-Calais
CEGID,410218010,2018,83/100,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
"BOIS & MATERIAUX",410173298,2018,67/100,Entreprise,"","",Bretagne,Ille-et-Vilaine
"DUPONT RESTAURATION",410151674,2018,84/100,Entreprise,"","",Hauts-de-France,Pas-de-Calais
"SUEZ Eau France",410034607,2018,89/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
GIFOME,409803772,2018,99/100,"Unité Economique et Sociale (UES)","UES GIFOME","RIESTE (352853667), CINE (352853568), ADOS (380273599), CHARTON (383392750), POSE (388976961), STASET (393379375), BONYTE (408478147), MURSIN (408478162), VUMEZ (408478048), MEREST (423325356), RIONS (410312391), FRIZO (410488589), GERENAS (507409308), PONANT (794943910), MPM (442202552), VLD31 (811023761), VILLAC (821497880), DAVANCE (393379409)",Auvergne-Rhône-Alpes,Rhône
"SOCIETE DE TRAITEMENT DE PRESSE",409108115,2018,87/100,Entreprise,"","",Ile-de-France,Val-de-Marne
"SAS EURODIF",408772101,2018,83/100,Entreprise,"","",Ile-de-France,Paris
"DOMUSVI DOMICILE",408660595,2018,66/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"ASSOCIATION HOPITAL FOCH",408457299,2018,86/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"yzee services",407997162,2018,79/100,Entreprise,"","",Hauts-de-France,Pas-de-Calais
"BOUYGUES TRAVAUX PUBLICS",407985308,2018,86/100,Entreprise,"","",Ile-de-France,Yvelines
"BRICORAMA FRANCE",406680314,2018,73/100,Entreprise,"","",Ile-de-France,Val-de-Marne
"Nike Retail BV",405395518,2018,99/100,Entreprise,"","",Ile-de-France,Paris
"ITS GROUP",404536922,2018,79/100,"Unité Economique et Sociale (UES)","ITS GROUP","ITS INTEGRA (421633173), THEMIS CONSEIL (451931174), ITS IBELEM (439018029)",Ile-de-France,Hauts-de-Seine
SNV,404432775,2018,89/100,Entreprise,"","",Normandie,Orne
"Expleo France",404271470,2018,88/100,"Unité Economique et Sociale (UES)","UES Expleo France","Expleo Régions (352268973)",Ile-de-France,Yvelines
"ALTEN SUD OUEST",404191447,2018,79/100,Entreprise,"","",Occitanie,Haute-Garonne
"Sanofi aventis groupe",403335938,2018,94/100,Entreprise,"","",Ile-de-France,Paris
"sanofi-aventis France",403335904,2018,98/100,Entreprise,"","",Ile-de-France,Val-de-Marne
"UMANIS SA",403259534,2018,80/100,"Unité Economique et Sociale (UES)",UMANIS,"UMANIS INDUSTRIE (434016853)",Ile-de-France,Hauts-de-Seine
"MANGO FRANCE SARL",403259138,2018,83/100,Entreprise,"","",Ile-de-France,Paris
"SAS MAXIMO",403206964,2018,94/100,Entreprise,"","","Grand Est",Meuse
"LA PLATEFORME",403104250,2018,79/100,Entreprise,"","",Ile-de-France,Paris
"Devoteam SA",402968655,2018,58/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"OFFICE DEPOT FRANCE",402254437,2018,74/100,Entreprise,"","",Hauts-de-France,Oise
"CREDIT AGRICOLE SUD RHONE ALPES",402121958,2018,88/100,Entreprise,"","",Auvergne-Rhône-Alpes,Isère
"EIFFAGE ROUTE NORD EST",402096267,2018,48/65,Entreprise,"","","Grand Est",Marne
"Société Fiduciaire Internationale d'Audit",401946983,2018,80/100,"Unité Economique et Sociale (UES)","UES Deloitte","DELOITTE CONSEIL (401948245), DELOITTE & ASSOCIES (572028041), DIFPRESSE GESTION (452436686), DELOITTE CONSEIL FINANCE (495375537), DELOITTE FINANCE (431347079), DELOITTE ACCOUNTING SERVICES (318659166), DURAND ET ASSOCIES (350927521), CONSTANTIN ENTREPRISES (413370560), CONSTANTIN ASSOCIES (642010045), CISANE (398478750), DELOITTE MARQUE & GENDROT (342528825), DELOITTE MARQUE GENDROT (652039330), DELOITTE AUDIT IT FINANCIAL SERVICES (418058228), GREENEXT SERVICE (752491110), CABINET SERRA HUDELLET (477553929), EQUITIVE (498012574), DELOITTE PRODUCTS & SOLUTIONS (510696164), MONITOR DELOITTE (389901125), PIERRE-HENRI SCACCHI ET ASSOCIES (408272375), DAVECC SAS (420154155), KOVI 8 (793364183), HERVE SCHAUER CONSULTANTS (444475891), REVI CONSEIL (334180635), DELOITTE AFRIQUE (499807063)",Ile-de-France,Hauts-de-Seine
SAS,401772710,2018,54/80,Entreprise,"","",Ile-de-France,Val-de-Marne
"TATA CONSULTANCY SERVICES FRANCE SA",401595483,2018,83/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"AEGIDE SA",401397765,2018,76/100,"Unité Economique et Sociale (UES)",AEGIDE-DOMITYS,"AEGIDE MANAGEMENT SARL (402095509), AEGIDE PROMOTION SARL (432085389), AEGIDE PROMOTION INVESTISSEMENT SARL (449719871), SCI DOMINVEST (442041604), SCI DE BELMONT (334818747), CHATEAU BELMONT (302508460), DOMITYS SAS (488701434), DOMITYS NORD SARL (750157612), DOMITYS NORD OUEST SARL (531823698), DOMITYS EST SARL (750184632), DOMITYS CENTRE OUEST SARL (452414774), DOMITYS SUD EST SARL (537705022), DOMITYS SUD OUEST SARL (519083406), DOMITYS GESTION IMMOBILIERE SARL (808829535), DOMITYS INVEST SAS (329479257)",Ile-de-France,Paris
"SA ORPEA",401251566,2018,84/100,"Unité Economique et Sociale (UES)","UES ORPEA","SA LES CHARMILLES (959200247), SARL LA MAISON DE SALOME (449221084), SARL L'ATRIUM (351375650), SAS ORGANIS (449221084), SN LES JARDINS D'ESCUDIE (445050990)",Ile-de-France,Hauts-de-Seine
"ASSOCIATION HOSPITALIERE DE BRETAGNE",400944476,2018,69/80,Entreprise,"","",Bretagne,"Côtes-d'armor"
"CREDIT AGRICOLE VAL DE FRANCE",400868188,2018,67/100,Entreprise,"","","Centre-Val de Loire",Eure-et-Loir
"AHBFC Association Hospitalière de Bourgogne Franche-Comté",400395257,2018,77/80,Entreprise,"","",Bourgogne-Franche-Comté,Haute-Saône
"ALTEN SYSTEMES D'INFORMATION ET RESEAUX",400357885,2018,73/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"CREDIT AGRICOLE CENTRE EST",399973825,2018,98/100,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
"CREDIT AGRICOLE TOURAINE POITOU",399780097,2018,87/100,Entreprise,"","","Centre-Val de Loire",Indre-et-Loire
"CR Charente-Maritime Deux-Sèvres",399354810,2018,87/100,Entreprise,"","",Nouvelle-Aquitaine,Charente-Maritime
"METRO FRANCE",399315613,2018,93/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"EIFFAGE ROUTE SUD OUEST",399307370,2018,50/65,Entreprise,"","",Nouvelle-Aquitaine,Gironde
"Page Personnel SAS",399256890,2018,94/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"HENNER GMC",399142892,2018,91/100,"Unité Economique et Sociale (UES)","GROUPE HENNER","HENNER SAS (323377739), HENNER LILLE (448884890), HENNER MEDITERRANEE (503009193), HENNER SPORTS (504879685), GMC ASSOCIATION (784411357), GO ASSOCIATION (775676356)",Ile-de-France,Hauts-de-Seine
"HENNES ET MAURITZ (H&M)",398979310,2018,97/100,Entreprise,"","",Ile-de-France,Paris
"GMF ASSURANCES",398972901,2018,87/100,"Unité Economique et Sociale (UES)",COVEA,"ASSURANCES MUTUELLES DE FRANCE (323562678), FIDELIA ASSISTANCE (479897936), FIDELIA SERVICES (479897936), GMF VIE (315814806), LA GARANTIE MUTUELLE DES FONCTIONNAIRES (775691140), TELEASSURANCES (339761298), Association pour le développement des compétences (391169109), MAAF ASSURANCES (781423280), MAAF ASSURANCES SA (542073580), MAAF SANTE (331542142), MAAF VIE SA (337804819), GIE ATLAS (424097103), GIE EURO GESTION SANTE (392735171), GIE EURODEM (389316290), GIE EUROPAC (389272295), GIE EUROPEX (389272030), GIE EUROVAD (539663195), GIE LOGISTIC (389272139), GIE RCDI (389272389), MMA IARD (775652126), MMA VIE (775652118), MMA IARD SA (440048882), MMA VIE SA (440042174), COVEA PROTECTION JURIDIQUE SA (442935227)",Ile-de-France,Hauts-de-Seine
"EIFFAGE ROUTE CENTRE EST",398827113,2018,46/65,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
"CREDIT AGRICOLE CENTRE LOIRE",398824714,2018,83/100,Entreprise,"","","Centre-Val de Loire",Cher
"EIFFAGE ROUTE MEDITERRANEE",398762211,2018,48/65,Entreprise,"","","Provence-Alpes-Côte d'Azur",Bouches-du-Rhône
ORCHESTRA-PREMAMAN,398471565,2018,59/85,Entreprise,"","",Occitanie,Hérault
"STEM PROPRETE",398372615,2018,89/100,Entreprise,"","",Ile-de-France,Essonne
"OKAIDI SA",398110445,2018,82/100,Entreprise,"","",Hauts-de-France,Nord
SOGETREL,397767831,2018,79/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"BOUYGUES TELECOM",397480930,2018,78/100,Entreprise,"","",Ile-de-France,Paris
"EURODISNEY ASSOCIES SAS",397471822,2018,79/100,"Unité Economique et Sociale (UES)","UES EDA SAS SETEMO ED SPECTACLES","SETEMO (388457004), ED SPECTACLES SARL (385405584)",Ile-de-France,Seine-et-Marne
"BLANC AERO INDUSTRIES",395001852,2018,79/100,Entreprise,"","",Ile-de-France,Paris
"CONTITRADE FRANCE SAS",394479034,2018,74/100,Entreprise,"","",Hauts-de-France,Oise
"TEMPS DE VIE Association pour le Développement des Equipements Sanitaires, Sociaux et Médico-sociaux",394342174,2018,78/100,Entreprise,"","",Hauts-de-France,Nord
"PRO BTP",394164966,2018,77/100,Entreprise,"","",Ile-de-France,Paris
"CRCA NORD EST",394157085,2018,88/100,Entreprise,"","","Grand Est",Marne
PROSERVIA,394026934,2018,73/100,Entreprise,"","","Pays de la Loire",Loire-Atlantique
"Sephora SAS",393712286,2018,96/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"PROPRETE ENVIRONNEMENT INDUSTRIEL",393379870,2018,79/100,Entreprise,"","",Ile-de-France,Essonne
"APAVE PARISIENNE SAS",393168273,2018,73/100,Entreprise,"","",Ile-de-France,Paris
"FAURECIA SIEGES AUTOMOBILE",393162433,2018,73/100,Entreprise,"","",Ile-de-France,Essonne
"CS SYSTEMES D INFORMATION",393135298,2018,86/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"PETROINEOS MANUFACTURING FRANCE SAS",392860243,2018,63/100,"Unité Economique et Sociale (UES)","Groupement d'Entreprise (UES)","INEOS CHEMICALS LAVERA SAS (490702800), INEOS DERIVATIVES LAVERA SAS (802950873), INEOS TECHNOLOGIES FRANCE SAS (489938084), INEOS FRANCE SAS (351670823), INEOS REFINING FRANCE (509868337)","Provence-Alpes-Côte d'Azur",Bouches-du-Rhône
"Les cinémas Pathé Gaumont Services ( Envoi 2/3)",392706412,2018,94/100,"Unité Economique et Sociale (UES)","Les cinémas Pathé Gaumont","Gaumont Toulouse Labège (438389835), Gaumont Toulouse Wilson (438388720), Gaumont Valenciennes (438389256), Pathé Annecy Décavision (417994456), Société des Grands Ecrans du Genevois (409855558), Pathé Avignon (392957635), Pathé Beaugrenelle (414873687), Pathé Belfort (432250223), Pathé Belle Epine (387469877), Pathé Boulogne (419880216), Pathé Brumath (405263849), Pathé Caen (444567127), Pathé Carré de Soie (419826615), Pathé Chambéry (498227677), Pathé Conflans (421528026), Pathé Dammarie (786750604), Pathé Echirolles (399278837), Pathé Evreux (593650583), Pathé Grenoble Chavant (405263872), Pathé Ivry (414873786), Pathé La Valette (542107701), Pathé La Villette (444566889), Pathé Le Mans (423460658), Pathé Levallois (423702224)",Ile-de-France,Paris
"Les cinémas Pathé Gaumont Services ( Envoi 1/3)",392706412,2018,94/100,"Unité Economique et Sociale (UES)","Les cinémas Pathé Gaumont","Les cinémas Pathé Gaumont Developpement (438389116), Les cinémas Pathé Gaumont Programmation (328170212), Gaumont Alésia (438391195), Gaumont Amneville (438391062), Pathé Angers (438390882), Pathé Sénart (433964517), Gaumont Calais (438391781), Gaumont Champs Elysées (438391104), Gaumont Chessy (438391120), Gaumont Convention (508966405), Gaumont Italie (552100844), Gaumont Le Havre (438390064), Gaumont Parnasse (438390403), Gaumont Montpellier Comedie (438390981), Gaumont Montpellier Multiplexe (438391047), Gaumont Nantes (438390791), Gaumont Opéra Capucine (433964921), Gaumont Opéra Premier (438388936), Gaumont Paris Sud (438391088), Gaumont Picardie (433964616), Société des grands écrans de Thillois (438390353), Gaumont Rennes (438391773), Gaumont Rouen (438389660), Gaumont Saint-Denis (438391484)",Ile-de-France,Paris
"Les cinémas Pathé Gaumont Services (envoi 3/3)",392706412,2018,94/100,"Unité Economique et Sociale (UES)","LES CINEMAS PATHE GAUMONT","Pathé Lyon (387472905), Pathé Marseille (324916444), Pathé Massy (527863047), Pathé Montataire (405271206), Pathé Nantes (399279173), Pathé Nice (065803454), Pathé Nice Gare du Sud (528470685), Pathé Nice Lingostière (419880489), Pathé Orléans La Charpenterie (414874271), Pathé Rouen (421379009), Pathé Saran (419826730), Pathé Toulon (572077089), Pathé Vaise (414873554), Pathé Valence (421363136), Pathé Wepler (389589847), Pathéciné 29 (450849658), Pathé Lievin (399278746)",Ile-de-France,Paris
"Caisse d'épargne Bretagne Pays de Loire",392640090,2018,74/100,Entreprise,"","","Pays de la Loire",Loire-Atlantique
SNC,392527404,2018,72/100,Entreprise,"","",Auvergne-Rhône-Alpes,Isère
"GROUPAMA D'OC",391851557,2018,91/100,Entreprise,"","",Occitanie,Haute-Garonne
"Technip France",391637865,2018,79/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"PROCTER & GAMBLE AMIENS SAS",391548955,2018,94/100,Entreprise,"","",Hauts-de-France,Somme
AUBAY,391504693,2018,75/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"AUTOGRILL COTE FRANCE",391378239,2018,88/100,Entreprise,"","","Provence-Alpes-Côte d'Azur",Bouches-du-Rhône
"Akka Services",391136108,2018,88/100,"Unité Economique et Sociale (UES)","Akka Technologies","Akka Technologies (442950865), Akka Manager (447850314), Akka Informatique et Systemes (612034801), Akka I&S (318732880), Akka Ingenierie Produit (308884801), EKIS France (389816455), Aeroconseil (420174792), Akka Life Sciences (508468808)",Auvergne-Rhône-Alpes,Rhône
"RESTALLIANCE SAS",391125796,2018,84/85,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
SADEF,390689529,2018,88/100,Entreprise,"","","Centre-Val de Loire",Loiret
"Centre Hospitalier St Joseph St Luc",390555076,2018,78/85,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
"DOCAPOSTE BPO IS",390426450,2018,74/100,Entreprise,"","",Ile-de-France,Val-de-Marne
CIRCET,390072551,2018,72/100,Entreprise,"","","Provence-Alpes-Côte d'Azur",Var
DISTRILAP,38958375,2018,79/100,Entreprise,"","",Ile-de-France,Seine-Saint-Denis
"ALSTOM POWER SYSTEMS",389192030,2018,72/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"ALSTOM TRANSPORT SA",389191982,2018,95/100,Entreprise,"","",Ile-de-France,Seine-Saint-Denis
"Grid Solutions",389191800,2018,69/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"Société Financière BERT",389142670,2018,93/100,"Unité Economique et Sociale (UES)","UES groupe BERT","BERT TRUCKS (414403311), BERT LOGISTIQUE (392530796), BERT VIVARAIS STOCKAGE (439941196), BERT DEVELOPPEMENT (788623544), BERT PROVENCE (304615529), BERT SUD (398836213), BERT NIMES (443040712), TRB (400219036), BERT NORD (355501875), TGB (418043436), BERT 42 (419337381), BESSENAY (340006055), BOUVAREL STOCKAGE (450792841), POIRIER (837250166), BERT INDUSTRIE (810118786), BERT SERVICES (453120586), BERT DU FOREZ (477900773), BERT ENERGIE (492346366), BERT RHONE-ALPES (513314724), BTS (377531264), INDRE LOGISTIQUE (534798178), BERT 45 (749863486), PRESTILOG (804904449), BALISAGE SECURITE SERVICE (431343581), STS-EROB (379420078)",Auvergne-Rhône-Alpes,Drôme
"Geoxia Maisons Individuelles",389002767,2018,84/100,"Unité Economique et Sociale (UES)","UES Geoxia Maisons Individuelles","GIE Geoxia Ressources (437654551), Geoxia Ile de France (320920911), Geoxia Nord Ouest (421282211), Geoxia Centre Est (421286550), Geoxia Rhône Alpes (316606664), Geoxia Méditerranée (318573318), Geoxia Midi Pyrénées (316701721), Geoxia Languedoc Roussillon (494492218), Geoxia Ouest (449080324)",Ile-de-France,Hauts-de-Seine
"AOSTE SNC",388818726,2018,93/100,Entreprise,"","",Auvergne-Rhône-Alpes,Isère
"Marionnaud Parfumerie",388764029,2018,88/100,"Unité Economique et Sociale (UES)","UES Marionnaud","Marionnaud Lafayette (348674169), Marionnaud Espaces (305756611)",Ile-de-France,Paris
"Marionnaud Parfumeries",388764029,2018,80/100,"Unité Economique et Sociale (UES)","UES Marionnaud","Marionnaud Espace (305756611), Marionnaud Lafayette (348674169)",Ile-de-France,Paris
"COMPUTACENTER FRANCE",388734568,2018,92/100,Entreprise,"","",Ile-de-France,"Val-d'oise"
"OCP Répartition",388698201,2018,94/100,Entreprise,"","",Ile-de-France,Seine-Saint-Denis
"SA LNA Santé",388359531,2018,70/100,"Unité Economique et Sociale (UES)","UES LNA SANTE","SARL LA CHEZALIERE (352694681), SAS LE PARC DE DIANE (394055602), SAS LE PARC DE LA PLESSE (351792478), SAS LE PARC DE LA TOUQUES (421178740), SAS LE PARC SAINT CHARLES (428670319), SAS RESIDENCE AIGUE MARINE (444727051), SAS RESIDENCE VERTE PRAIRIE (351327481), SAS LE PARC DES VIGNES (412458119), SAS RESIDENCE CREISKER (452918303), SAS LE MAS DE LA COTE BLEUE (489578492), SAS RESIDENCE LES PLEIADES (445348923), SAS LES JARDINS D'OLONNE (478216559), SAS LA VILLA DES POETES (351605522), SAS RESIDENCE LES CAMELIAS (338662547), SAS RESIDENCE LES NYMPHEAS (352351399), SAS RESIDENCE LE MONTHEARD (509618351), SAS LES JARDINS D'HERMINE (440249043), SAS RESIDENCE LES SOURCES (508707304), SAS VILLA AMELIE (532107109), SAS VILLA ELEONORE (500673926), SAS VILLA OCEANE (528150683), SAS RESIDENCE LES MIMOSAS (420020349), SAS VILLA DE FALICON (529238578), SAS VILLA TOHANNIC (380487041), SAS RESIDENCE LE BOURGAILH (331913756), SAS LES JARDINS DE LEYSOTTE (410104269), SAS RESIDENCE TALANSSA (351121470), SAS VILLA DE VALROSE (343995254), SAS LNA RETRAITE (529264061), SAS LNA SERVICES (442082863), SAS VILLA DES COLLETTES (393358197)","Pays de la Loire",Loire-Atlantique
"ONET TECHNOLOGIES TI",388035107,2018,89/100,Entreprise,"","","Provence-Alpes-Côte d'Azur",Bouches-du-Rhône
"SYSTRA SA",387949530,2018,84/100,Entreprise,"","",Ile-de-France,Paris
"Gfi Infromatique",385365713,2018,89/100,"Unité Economique et Sociale (UES)","Gfi Informatique","Gfi Progiciels (340546993)",Ile-de-France,Seine-Saint-Denis
"NOCIBE FRANCE DISTRIBUTION",384970786,2018,62/100,"Unité Economique et Sociale (UES)","UES NOCIBE","NOCIBE FRANCE (388872566), GROUPE NOCIBE (451489017), GROUPE NOCIBE FRANCE (485332563)",Hauts-de-France,Nord
"Crédit Agricole Franche-Comté",384899399,2018,99/100,Entreprise,"","",Bourgogne-Franche-Comté,Doubs
"Leroy Merlin France",384560942,2018,74/100,"Unité Economique et Sociale (UES)","UES Leroy Merlin","Leroy Merlin GSB (408957363), Immobilière Leroy Merlin France (421227224), Adeo Services (421206079), Groupe Adeo (358200913)",Hauts-de-France,Nord
"Association Adèle de Glaubitz",384493284,2018,98/100,Entreprise,"","","Grand Est",Bas-Rhin
"VERT MARINE",384425476,2018,88/100,"Unité Economique et Sociale (UES)","UES VM","SARL CHIOS (497565416), SARL IN'FORM VERT MARINE (753975630), SARL KALAMOS (498712652), SARL LEVITHA (499355634), SARL NAXOS (490044773), SARL TILOS (498800564), SARL VM 28400 (752572420), SARL VM 30900 (808275119), SARL VM 34270 (799854294), SARL VM 40230 (753335579), SARL VM 44250 (753431303), SARL VM 52100 (794384321), SARL VM 60800 (521762062), SARL VM 62120 (823168133), SARL VM 76130 (790450282), SARL VM 76190 (808274948), SARL VM 82000 (793220807), SARL VM 83170 (819613381), SARL VM 86320 (810683466), SARL VM 92100 (531362572), SARL VM 93390 (814112876), SARL VM Patinoire 94500 (822336020), SAS BALAXA (501591697), SAS VM 01330 (842509713), SAS VM 01400 (814765103), SAS VM 01700 (534287453), SAS VM 02100 (521296277), SAS VM 17410 (833159445), SAS VM 25160 (817488844), SAS VM 25500 (842710147), SAS VM 26300 (830450656), SAS VM 34000 (750310070), SAS VM 38550 (834927642), SAS VM 41220 (840212377), SAS VM 45160 (522216670), SAS VM 50400 (837838655), SAS VM 54110 (834141103), SAS VM 76500 (502062557), SAS VM 76500 (502062557), SAS VM 78200 (820973808), SAS VM 78210 (843150574), SAS VM 80700 (840458483), SAS VM 82300 (817380322), SAS VM 87000 (804438489), SAS VM 91490 (830653135), SAS VM 92500 (842131161), SAS VM 93800 (821926524), SAS VM 94500 (811286004), SAS VM 78200 (820973808)",Normandie,Seine-Maritime
"CAISSE D'EPARGNE CÔTE D'AZUR",384402871,2018,99/100,Entreprise,"","","Provence-Alpes-Côte d'Azur",Alpes-Maritimes
"Caisse d'Epargne Normandie",384352413,2018,79/100,Entreprise,"","",Normandie,Seine-Maritime
"STN TEFID",384343620,2018,84/100,Entreprise,"","",Ile-de-France,"Val-d'oise"
"CAISSE D'EPARGNE RHONE ALPES (CERA)",384006029,2018,89/100,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
"Groupama Nord-Est",383987625,2018,90/100,Entreprise,"","","Grand Est",Marne
"COOPERL ARC ATLANTIQUE",383986874,2018,87/100,Entreprise,"","",Bretagne,"Côtes-d'armor"
chronopost,383960135,2018,87/100,Entreprise,"","",Ile-de-France,Paris
"CAISSE D'EPARGNE ET DE PREVOYANCE LOIRE CENTRE",383952470,2018,79/100,Entreprise,"","","Centre-Val de Loire",Loiret
"GROUPAMA CENTRE MANCHE",383853801,2018,76/85,Entreprise,"","","Centre-Val de Loire",Eure-et-Loir
"GROUPAMA LOIRE BRETAGNE",383844693,2018,81/100,Entreprise,"","",Bretagne,Ille-et-Vilaine
Schindler,383711678,2018,88/100,Entreprise,"","",Ile-de-France,Yvelines
"FRANS BONHOMME",383706397,2018,83/100,Entreprise,"","","Centre-Val de Loire",Indre-et-Loire
"SAFT SAS",383703873,2018,77/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"CAISSE D EPARGNE LOIRE DROME ARDECHE",383686839,2018,83/100,Entreprise,"","",Auvergne-Rhône-Alpes,Loire
"JARDEL Services",383610623,2018,44/65,Entreprise,"","",Occitanie,Hautes-Pyrénées
"TRANSDEV ILE DE FRANCE",383607090,2018,68/80,Entreprise,"","",Ile-de-France,Paris
"THALES DMS FRANCE",383475092,2018,94/100,Entreprise,"","",Ile-de-France,Yvelines
"Thales SIX GTS France SAS",383470937,2018,99/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"Caisse d'Epargne Languedoc Roussillon",383451267,2018,77/100,Entreprise,"","",Occitanie,Hérault
"Caisse d'Epargne Midi-Pyrénées",383354594,2018,78/100,Entreprise,"","",Occitanie,Haute-Garonne
ETF,383252608,2018,15/25,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"XPO DISTRIBUTION FRANCE",383242161,2018,89/100,Entreprise,"","",Auvergne-Rhône-Alpes,Drôme
"Maisons du Monde France SAS",383196656,2018,82/100,Entreprise,"","","Pays de la Loire",Loire-Atlantique
EASYDIS,383123874,2018,88/100,Entreprise,"","",Auvergne-Rhône-Alpes,Loire
"Caisse d'Epargne Hauts de France",383000692,2018,93/100,Entreprise,"","",Hauts-de-France,Nord
"CAISSE D'EPARGNE ET DE PREVOYANCE  ILE-DE-FRANCE",382900942,2018,94/100,Entreprise,"","",Ile-de-France,Paris
"Caise d'Epargne d'Auvergne et du Limousin",382742013,2018,88/100,Entreprise,"","",Auvergne-Rhône-Alpes,Puy-de-Dôme
"Nespresso France SAS",382597821,2018,98/100,Entreprise,"","",Ile-de-France,Paris
"FOOT LOCKER FRANCE SAS",382401867,2018,89/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"CRAMA PARIS VAL DE LOIRE",382285260,2018,84/100,Entreprise,"","",Ile-de-France,Val-de-Marne
HELPLINE,381983568,2018,92/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"Crédit Agricole Alpes Provence",381976448,2018,92/100,Entreprise,"","","Provence-Alpes-Côte d'Azur",Bouches-du-Rhône
SAS,381762038,2018,68/100,Entreprise,"","",Ile-de-France,Yvelines
SOLUTEC,381345941,2018,89/100,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
"FIDUCIAL PRIVATE SECURITY",381162197,2018,69/85,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"GROUPAMA Centre Atlantique",381043686,2018,85/100,Entreprise,"","",Nouvelle-Aquitaine,Deux-Sèvres
OPEN,381031285,2018,94/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"PARIS AIR CATERING",380885129,2018,79/100,Entreprise,"","",Ile-de-France,"Val-d'oise"
"Armand Thiery SAS",380622332,2018,79/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"C.R.C.A.M LOIRE HAUTE-LOIRE",380386854,2018,91/100,Entreprise,"","",Auvergne-Rhône-Alpes,Loire
"Cogedim gestion",380375097,2018,84/100,"Unité Economique et Sociale (UES)","UES Cogedim","COVALENS (309021277), ACEAM (534207386)",Ile-de-France,Paris
